epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3162.6,0.97639,0.71842,1.08566,0.80053,0.85827,0.87755,0.63919,0.88744,0.64424,1.09207,0.007228,0.007228,0.007228
44,3235.74,0.97887,0.71248,1.08379,0.85199,0.85471,0.89044,0.6569,0.86799,0.6059,1.08355,0.007162,0.007162,0.007162
45,3309.83,0.98166,0.70769,1.08553,0.84593,0.829,0.88192,0.65267,0.86248,0.61443,1.08286,0.007096,0.007096,0.007096
46,3382.5,0.97539,0.70396,1.08261,0.84654,0.86597,0.89975,0.6633,0.86805,0.59226,1.07897,0.00703,0.00703,0.00703
47,3456.05,0.95754,0.69225,1.07703,0.8322,0.83891,0.87942,0.64552,0.8744,0.62797,1.08585,0.006964,0.006964,0.006964
48,3532.27,0.96372,0.69052,1.07337,0.86129,0.8595,0.90396,0.67313,0.84468,0.58681,1.06991,0.006898,0.006898,0.006898
49,3605.72,0.96121,0.68654,1.07572,0.82156,0.84484,0.88576,0.64625,0.86864,0.62359,1.08343,0.006832,0.006832,0.006832
50,3677.95,0.96182,0.68984,1.07188,0.84599,0.86602,0.90289,0.66972,0.85354,0.58527,1.07325,0.006766,0.006766,0.006766
51,3752.12,0.95419,0.67364,1.06678,0.88618,0.86684,0.90566,0.68024,0.8386,0.55789,1.06688,0.0067,0.0067,0.0067
52,3824.63,0.94839,0.67168,1.06853,0.87312,0.86532,0.90651,0.67253,0.84762,0.56311,1.06918,0.006634,0.006634,0.006634
53,3896.63,0.94775,0.66695,1.07002,0.83887,0.86552,0.89659,0.66107,0.85614,0.59226,1.07588,0.006568,0.006568,0.006568
54,3968.7,0.94975,0.65928,1.07388,0.84767,0.87234,0.90732,0.67476,0.85053,0.56663,1.07384,0.006502,0.006502,0.006502
55,4041.58,0.95038,0.66276,1.06914,0.84897,0.85768,0.89487,0.65639,0.87243,0.5759,1.08437,0.006436,0.006436,0.006436
56,4116.19,0.94694,0.6598,1.07345,0.87289,0.87537,0.91233,0.68458,0.82995,0.55338,1.06331,0.00637,0.00637,0.00637
57,4188.57,0.93178,0.64939,1.06237,0.87327,0.86929,0.91319,0.68269,0.83837,0.56078,1.06702,0.006304,0.006304,0.006304
58,4261.36,0.93413,0.64396,1.06074,0.84961,0.87477,0.90603,0.66859,0.85411,0.56584,1.07503,0.006238,0.006238,0.006238
59,4334.91,0.92691,0.64044,1.06032,0.84078,0.86134,0.90019,0.66833,0.85033,0.56995,1.07588,0.006172,0.006172,0.006172
60,4408.81,0.92543,0.64366,1.05986,0.85567,0.87279,0.91442,0.68394,0.83897,0.55771,1.06462,0.006106,0.006106,0.006106
61,4480.84,0.92771,0.6484,1.06127,0.85696,0.86933,0.91093,0.67849,0.84498,0.55571,1.07166,0.00604,0.00604,0.00604
62,4552.57,0.93132,0.63573,1.06198,0.87426,0.87672,0.91333,0.6885,0.83205,0.53356,1.06306,0.005974,0.005974,0.005974
63,4625.31,0.92144,0.63017,1.05984,0.86014,0.88563,0.9164,0.68792,0.82484,0.53546,1.06357,0.005908,0.005908,0.005908
64,4697.93,0.92116,0.6328,1.06834,0.87159,0.88192,0.92045,0.6903,0.82096,0.52387,1.06358,0.005842,0.005842,0.005842
65,4770.25,0.91957,0.63797,1.06073,0.87861,0.88203,0.92132,0.69416,0.82215,0.53715,1.06062,0.005776,0.005776,0.005776
66,4844.91,0.93287,0.62952,1.06426,0.86963,0.876,0.91386,0.6879,0.82385,0.53755,1.06189,0.00571,0.00571,0.00571
67,4920.05,0.92113,0.62128,1.05818,0.8732,0.87938,0.91677,0.69027,0.82372,0.53713,1.05879,0.005644,0.005644,0.005644
68,4996.71,0.9189,0.62807,1.05409,0.87242,0.89532,0.92648,0.69632,0.82504,0.51344,1.06116,0.005578,0.005578,0.005578
69,5070.82,0.91652,0.62935,1.05752,0.87415,0.8819,0.91949,0.69137,0.83205,0.52828,1.06728,0.005512,0.005512,0.005512
70,5142.78,0.91587,0.62537,1.05746,0.86695,0.88364,0.9175,0.69226,0.83207,0.52905,1.06441,0.005446,0.005446,0.005446
71,5215.25,0.90516,0.61144,1.05132,0.8737,0.8906,0.91708,0.6914,0.82058,0.51956,1.06186,0.00538,0.00538,0.00538
72,5287.12,0.9048,0.60751,1.05806,0.87734,0.8741,0.9167,0.69052,0.82861,0.52471,1.06207,0.005314,0.005314,0.005314
73,5358.78,0.89657,0.60384,1.04839,0.86763,0.90076,0.92377,0.70042,0.80992,0.50299,1.05679,0.005248,0.005248,0.005248
74,5431.24,0.91236,0.60981,1.05436,0.88518,0.87534,0.9208,0.69738,0.81798,0.50843,1.06058,0.005182,0.005182,0.005182
75,5504.67,0.89833,0.60198,1.04886,0.87673,0.89402,0.92784,0.70453,0.81355,0.50161,1.05831,0.005116,0.005116,0.005116
76,5577.34,0.90667,0.60196,1.05113,0.87985,0.89468,0.92514,0.69843,0.81459,0.50314,1.06,0.00505,0.00505,0.00505
77,5650.5,0.89599,0.59025,1.04485,0.87368,0.89886,0.92606,0.70167,0.80672,0.50591,1.05344,0.004984,0.004984,0.004984
78,5723.29,0.8898,0.58615,1.04468,0.88287,0.89343,0.9252,0.69982,0.81763,0.49757,1.05931,0.004918,0.004918,0.004918
79,5795.46,0.90614,0.59777,1.04766,0.86984,0.90553,0.92985,0.70746,0.80897,0.49618,1.05554,0.004852,0.004852,0.004852
80,5868.95,0.9029,0.60161,1.04529,0.87988,0.89317,0.92395,0.70351,0.80868,0.49744,1.05727,0.004786,0.004786,0.004786
81,5942.62,0.89061,0.5845,1.04994,0.89082,0.89163,0.93009,0.70703,0.80966,0.49088,1.05846,0.00472,0.00472,0.00472
82,6014.27,0.88828,0.58926,1.0478,0.88788,0.89739,0.93046,0.70863,0.80406,0.49362,1.05214,0.004654,0.004654,0.004654
83,6087.12,0.89426,0.59094,1.04494,0.88303,0.90418,0.93122,0.70841,0.80671,0.48867,1.05341,0.004588,0.004588,0.004588
84,6159.93,0.8938,0.58296,1.0471,0.88556,0.89986,0.93164,0.70823,0.80696,0.48748,1.05305,0.004522,0.004522,0.004522
85,6231.88,0.89721,0.58782,1.05048,0.8913,0.8971,0.93394,0.70713,0.81315,0.48714,1.05653,0.004456,0.004456,0.004456
86,6304.27,0.88336,0.58254,1.04548,0.89,0.90052,0.93144,0.70986,0.80886,0.48256,1.05307,0.00439,0.00439,0.00439
87,6377.09,0.88816,0.58193,1.04562,0.88755,0.89789,0.9301,0.70735,0.80855,0.48353,1.05256,0.004324,0.004324,0.004324
88,6449.91,0.87543,0.57139,1.04251,0.89159,0.90097,0.93222,0.71135,0.79954,0.48444,1.04919,0.004258,0.004258,0.004258
89,6522.66,0.87802,0.56389,1.03611,0.886,0.9028,0.9345,0.71423,0.80599,0.4756,1.05386,0.004192,0.004192,0.004192
90,6595.57,0.86952,0.56345,1.03181,0.89851,0.89683,0.93323,0.7151,0.80045,0.47859,1.0507,0.004126,0.004126,0.004126
91,6668.34,0.88652,0.57925,1.04536,0.89725,0.89035,0.93349,0.7104,0.80479,0.47969,1.05583,0.00406,0.00406,0.00406
92,6740.99,0.87497,0.56534,1.03702,0.89559,0.89803,0.93518,0.71396,0.7942,0.47803,1.04909,0.003994,0.003994,0.003994
93,6813.39,0.87505,0.5658,1.03613,0.89421,0.89913,0.9298,0.70966,0.805,0.48148,1.055,0.003928,0.003928,0.003928
