epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2261.69,0.99147,0.72564,1.08486,0.80638,0.83822,0.87375,0.63801,0.8986,0.65697,1.0756,0.007162,0.007162,0.007162
45,2312.42,0.99325,0.71504,1.08571,0.82551,0.84003,0.88258,0.6435,0.9138,0.64257,1.07619,0.007096,0.007096,0.007096
46,2362.77,0.98285,0.71621,1.08235,0.82565,0.85205,0.88543,0.6437,0.90708,0.63336,1.07637,0.00703,0.00703,0.00703
47,2413.31,0.98253,0.70382,1.08489,0.84478,0.86287,0.9004,0.65804,0.87362,0.59886,1.06317,0.006964,0.006964,0.006964
48,2464.79,0.98156,0.7111,1.08189,0.8316,0.85687,0.89474,0.66347,0.86209,0.595,1.06178,0.006898,0.006898,0.006898
49,2516.15,0.97342,0.70049,1.08181,0.8371,0.829,0.88599,0.64689,0.89461,0.60511,1.07031,0.006832,0.006832,0.006832
50,2567.83,0.97542,0.69436,1.08072,0.8249,0.82214,0.87233,0.63553,0.90291,0.64964,1.07626,0.006766,0.006766,0.006766
51,2618.68,0.98058,0.69821,1.0784,0.83505,0.84913,0.88934,0.6583,0.87836,0.60823,1.06079,0.0067,0.0067,0.0067
52,2670,0.96545,0.68747,1.07876,0.84354,0.85268,0.88998,0.65833,0.87508,0.59965,1.06422,0.006634,0.006634,0.006634
53,2720.36,0.96182,0.67719,1.06973,0.81634,0.86809,0.89341,0.65272,0.87577,0.60174,1.06881,0.006568,0.006568,0.006568
54,2770.48,0.95217,0.67633,1.06932,0.83259,0.85572,0.89096,0.65799,0.87075,0.58226,1.05956,0.006502,0.006502,0.006502
55,2820.88,0.96302,0.68384,1.0808,0.84982,0.8703,0.899,0.66675,0.8699,0.58886,1.06245,0.006436,0.006436,0.006436
56,2872.04,0.96966,0.67384,1.07488,0.85053,0.8718,0.90079,0.66577,0.86564,0.57628,1.05836,0.00637,0.00637,0.00637
57,2922.35,0.96049,0.6721,1.07299,0.84147,0.84823,0.89852,0.66201,0.86379,0.59724,1.05845,0.006304,0.006304,0.006304
58,2972.62,0.95639,0.67662,1.07545,0.84618,0.86643,0.89922,0.66352,0.86152,0.57429,1.0608,0.006238,0.006238,0.006238
59,3022.84,0.95505,0.66556,1.06611,0.83277,0.85788,0.90096,0.66228,0.86458,0.59882,1.05594,0.006172,0.006172,0.006172
60,3073.33,0.94282,0.65453,1.06188,0.8403,0.84727,0.88208,0.65428,0.86711,0.58304,1.05799,0.006106,0.006106,0.006106
61,3123.63,0.9387,0.65547,1.06512,0.83825,0.84901,0.89995,0.66459,0.87744,0.61323,1.06417,0.00604,0.00604,0.00604
62,3174.02,0.94042,0.65465,1.06379,0.83875,0.85668,0.90273,0.66907,0.87407,0.59817,1.06395,0.005974,0.005974,0.005974
