=== 每张图片各类藻密度 (Cells/L，含修正系数) ===
文件名,丝状藻,其他,卵囊藻,小环藻,微囊藻,浮丝藻,游丝藻,盘星藻,直链藻,长孢藻,隐藻,合计密度
huiwanxi2025-420241027_DL_5811.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09
huiwanxi2025-420241027_DL_5812.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.19e+09
huiwanxi2025-420241027_DL_5813.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.76e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.76e+08
huiwanxi2025-420241027_DL_5814.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
huiwanxi2025-420241027_DL_5815.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
huiwanxi2025-420241027_DL_5816.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-420241027_DL_5818.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
huiwanxi2025-420241027_DL_5819.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08
huiwanxi2025-420241027_DL_5820.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.19e+09
huiwanxi2025-420241027_DL_5821.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.19e+09
huiwanxi2025-420241027_DL_5825.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
huiwanxi2025-420241027_DL_5826.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-420241027_DL_5827.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.34e+09
huiwanxi2025-420241027_DL_5828.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.19e+09
huiwanxi2025-420241027_DL_5829.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09
huiwanxi2025-420241027_DL_5830.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.19e+09
huiwanxi2025-420241027_DL_5831.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.34e+09
huiwanxi2025-420241027_DL_5832.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-420241027_DL_5841.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
huiwanxi2025-420241027_DL_5842.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
huiwanxi2025-420241027_DL_5843.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
huiwanxi2025-420241027_DL_5844.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
huiwanxi2025-420241027_DL_5850.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
huiwanxi2025-420241027_DL_5855.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
huiwanxi2025-420241027_DL_5856.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08
huiwanxi2025-420241027_DL_5864.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-420241027_DL_5865.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,5.17e+07,0.00e+00,0.00e+00,2.07e+08
huiwanxi2025-420241027_DL_5866.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09
huiwanxi2025-420241027_DL_5867.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.19e+09
huiwanxi2025-420241027_DL_5868.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09
huiwanxi2025-420241027_DL_5869.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,1.03e+09,5.17e+08,0.00e+00,0.00e+00,0.00e+00,1.71e+09
huiwanxi2025-420241027_DL_5870.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.34e+09
huiwanxi2025-420241027_DL_5871.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
huiwanxi2025-420241027_DL_5872.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-420241027_DL_5874.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08
huiwanxi2025-420241027_DL_5877.jpg,0.00e+00,5.17e+07,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.62e+08
huiwanxi2025-420241027_DL_5878.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,8.28e+08
huiwanxi2025-420241027_DL_5879.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.19e+09
huiwanxi2025-420241027_DL_5880.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08
huiwanxi2025-420241027_DL_5881.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
huiwanxi2025-420241027_DL_5882.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-420241027_DL_5883.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-420241027_DL_5884.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
huiwanxi2025-420241027_DL_5885.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
huiwanxi2025-420241027_DL_5886.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.66e+08
huiwanxi2025-420241027_DL_5887.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,8.28e+08
huiwanxi2025-420241027_DL_5888.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.34e+09
