epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2827.1,0.94746,0.68143,1.08388,0.73472,0.78089,0.80387,0.57985,0.92361,0.86897,1.10007,0.007228,0.007228,0.007228
44,2903.62,0.94159,0.68982,1.08404,0.76863,0.77441,0.81834,0.60323,0.90286,0.81027,1.09528,0.007162,0.007162,0.007162
45,2980.95,0.93619,0.68141,1.08151,0.78871,0.78382,0.8247,0.60688,0.89439,0.75851,1.08747,0.007096,0.007096,0.007096
46,3056.26,0.93639,0.67485,1.08184,0.7861,0.80055,0.83473,0.61465,0.90222,0.76065,1.09322,0.00703,0.00703,0.00703
47,3132.87,0.92015,0.66551,1.07788,0.7546,0.78783,0.82629,0.60606,0.90901,0.7842,1.08905,0.006964,0.006964,0.006964
48,3208.47,0.92861,0.66451,1.08214,0.79746,0.81576,0.84461,0.62407,0.87959,0.72091,1.08121,0.006898,0.006898,0.006898
49,3285.57,0.9279,0.66455,1.07698,0.78117,0.79183,0.82701,0.61413,0.87783,0.77863,1.08356,0.006832,0.006832,0.006832
50,3362.03,0.91747,0.64929,1.06991,0.84044,0.8459,0.87495,0.65327,0.8714,0.62908,1.08303,0.006766,0.006766,0.006766
51,3438.93,0.91845,0.65018,1.07022,0.8369,0.85826,0.88526,0.65948,0.85707,0.61495,1.07171,0.0067,0.0067,0.0067
52,3516.19,0.90683,0.63635,1.06963,0.81711,0.83927,0.86333,0.64397,0.88376,0.6142,1.08612,0.006634,0.006634,0.006634
53,3604.74,0.9165,0.64113,1.07662,0.81119,0.84441,0.872,0.64634,0.85323,0.67339,1.07282,0.006568,0.006568,0.006568
54,3701.09,0.91055,0.63649,1.06888,0.79907,0.81633,0.85864,0.64099,0.85699,0.69612,1.0681,0.006502,0.006502,0.006502
55,3798.84,0.90558,0.62885,1.06773,0.79563,0.82843,0.86253,0.64193,0.8577,0.68547,1.07376,0.006436,0.006436,0.006436
56,3896.42,0.90958,0.62702,1.07009,0.80119,0.82479,0.8673,0.64785,0.85588,0.69315,1.07432,0.00637,0.00637,0.00637
57,3992.78,0.90753,0.62746,1.0614,0.78763,0.82834,0.85203,0.63886,0.85896,0.69215,1.07583,0.006304,0.006304,0.006304
58,4091.17,0.90943,0.63253,1.06882,0.80207,0.83609,0.86619,0.6461,0.85301,0.65605,1.07679,0.006238,0.006238,0.006238
59,4187.78,0.90155,0.61826,1.05992,0.80662,0.84217,0.87238,0.6501,0.85208,0.65833,1.07155,0.006172,0.006172,0.006172
60,4285.08,0.90596,0.6213,1.07181,0.80862,0.82356,0.86239,0.63735,0.88625,0.67926,1.08152,0.006106,0.006106,0.006106
61,4384.95,0.90143,0.61921,1.0655,0.80179,0.82584,0.86514,0.64414,0.85498,0.70407,1.07551,0.00604,0.00604,0.00604
62,4484.32,0.89945,0.61242,1.06057,0.80595,0.84344,0.86086,0.63817,0.87519,0.65345,1.07634,0.005974,0.005974,0.005974
63,4585.36,0.89611,0.60705,1.05696,0.79773,0.83498,0.85887,0.6423,0.86212,0.65942,1.07446,0.005908,0.005908,0.005908
64,4680.8,0.89056,0.61577,1.05633,0.78666,0.81783,0.84783,0.6316,0.85744,0.74957,1.07645,0.005842,0.005842,0.005842
65,4775.63,0.89063,0.61152,1.06106,0.77008,0.86466,0.86934,0.65115,0.84213,0.65203,1.06508,0.005776,0.005776,0.005776
66,4874.97,0.88707,0.59876,1.05815,0.84788,0.85598,0.89116,0.6698,0.83214,0.6122,1.06173,0.00571,0.00571,0.00571
67,4976.84,0.88063,0.59299,1.05534,0.83314,0.83832,0.87647,0.65706,0.8409,0.65381,1.06358,0.005644,0.005644,0.005644
68,5073.01,0.87473,0.59192,1.0542,0.84355,0.86308,0.89004,0.67176,0.84291,0.58853,1.06534,0.005578,0.005578,0.005578
69,5170.85,0.88597,0.59718,1.05359,0.82922,0.85344,0.88198,0.6613,0.83511,0.64449,1.06113,0.005512,0.005512,0.005512
70,5265.64,0.88098,0.58465,1.05417,0.85739,0.86169,0.89337,0.67427,0.84018,0.56368,1.06366,0.005446,0.005446,0.005446
71,5363.69,0.88101,0.58841,1.05742,0.82437,0.85218,0.87863,0.6586,0.84531,0.60552,1.06825,0.00538,0.00538,0.00538
72,5459.99,0.86739,0.57662,1.04898,0.81217,0.84711,0.87846,0.66612,0.81594,0.66673,1.0526,0.005314,0.005314,0.005314
73,5554.89,0.87492,0.58133,1.05154,0.83758,0.85698,0.8838,0.66712,0.82503,0.58542,1.05801,0.005248,0.005248,0.005248
74,5651,0.86906,0.58171,1.04978,0.84512,0.86369,0.89522,0.67311,0.84245,0.58978,1.06133,0.005182,0.005182,0.005182
75,5749.71,0.86768,0.57545,1.04635,0.8277,0.85699,0.88465,0.66291,0.83889,0.62819,1.0619,0.005116,0.005116,0.005116
76,5845.13,0.86662,0.57164,1.04701,0.81356,0.84597,0.87716,0.6631,0.81224,0.66501,1.05238,0.00505,0.00505,0.00505
77,5941.07,0.85879,0.56649,1.0413,0.82935,0.84408,0.87395,0.65979,0.81863,0.68313,1.05756,0.004984,0.004984,0.004984
78,6036.87,0.85632,0.56181,1.04214,0.83671,0.84943,0.88027,0.66339,0.8399,0.63683,1.0649,0.004918,0.004918,0.004918
79,6133.28,0.85866,0.56406,1.04379,0.83342,0.86242,0.88866,0.6725,0.81939,0.61381,1.05399,0.004852,0.004852,0.004852
80,6228.76,0.85869,0.55707,1.04588,0.85532,0.8579,0.89249,0.67708,0.8313,0.56332,1.05541,0.004786,0.004786,0.004786
81,6329.03,0.84883,0.55175,1.04441,0.8454,0.85613,0.8886,0.67318,0.82469,0.62102,1.05599,0.00472,0.00472,0.00472
82,6425.86,0.85242,0.55625,1.04217,0.82426,0.84859,0.87662,0.66371,0.82776,0.6584,1.05893,0.004654,0.004654,0.004654
83,6521.92,0.85449,0.55796,1.0394,0.84632,0.8679,0.89272,0.68017,0.81377,0.58787,1.05252,0.004588,0.004588,0.004588
84,6619.23,0.86083,0.55635,1.04294,0.84326,0.86398,0.89324,0.67968,0.82184,0.57407,1.05701,0.004522,0.004522,0.004522
85,6714.72,0.84644,0.54667,1.03497,0.83674,0.85422,0.88657,0.67654,0.80341,0.61215,1.05013,0.004456,0.004456,0.004456
86,6812.3,0.84782,0.55256,1.03736,0.83887,0.85756,0.8889,0.68113,0.81055,0.59974,1.05688,0.00439,0.00439,0.00439
87,6911.31,0.8429,0.54391,1.03875,0.84844,0.87367,0.89857,0.68427,0.81444,0.58061,1.05483,0.004324,0.004324,0.004324
88,7009.1,0.83901,0.54847,1.03507,0.8291,0.8521,0.8792,0.67382,0.80929,0.64207,1.05347,0.004258,0.004258,0.004258
89,7105.25,0.83701,0.54171,1.03103,0.85187,0.87774,0.90032,0.69382,0.80973,0.55341,1.05123,0.004192,0.004192,0.004192
90,7204.11,0.83942,0.53367,1.03856,0.83736,0.87291,0.89405,0.68481,0.80342,0.58382,1.04902,0.004126,0.004126,0.004126
91,7301.13,0.82589,0.53309,1.03187,0.85124,0.85162,0.89144,0.68173,0.81228,0.5684,1.05506,0.00406,0.00406,0.00406
92,7395.58,0.83304,0.53192,1.02871,0.84585,0.87263,0.89271,0.68087,0.82329,0.57311,1.04909,0.003994,0.003994,0.003994
93,7492.8,0.83002,0.53133,1.03263,0.83784,0.84569,0.87157,0.66495,0.82545,0.63161,1.05769,0.003928,0.003928,0.003928
94,7591.65,0.83332,0.53128,1.03091,0.85857,0.86586,0.89224,0.68798,0.81316,0.55636,1.05179,0.003862,0.003862,0.003862
95,7690.86,0.83382,0.52373,1.02862,0.84655,0.86909,0.89734,0.69269,0.80572,0.56402,1.04827,0.003796,0.003796,0.003796
96,7789,0.83101,0.51893,1.02651,0.85442,0.86786,0.89582,0.6916,0.80201,0.54799,1.04752,0.00373,0.00373,0.00373
97,7889.82,0.8235,0.52615,1.02493,0.85472,0.8771,0.90352,0.69462,0.80463,0.54493,1.04938,0.003664,0.003664,0.003664
98,7987.88,0.81779,0.5167,1.01942,0.84969,0.87533,0.90004,0.69041,0.80245,0.57021,1.04946,0.003598,0.003598,0.003598
99,8087.73,0.81653,0.51844,1.02207,0.83509,0.86818,0.89113,0.68234,0.80518,0.59359,1.04886,0.003532,0.003532,0.003532
100,8187.8,0.82321,0.51362,1.02746,0.85109,0.86448,0.89635,0.68716,0.80582,0.56856,1.04884,0.003466,0.003466,0.003466
101,8285.02,0.82085,0.50891,1.0283,0.84603,0.84643,0.88829,0.6825,0.80357,0.60937,1.04834,0.0034,0.0034,0.0034
102,8384.38,0.80782,0.50919,1.0208,0.8499,0.8735,0.90032,0.69278,0.80858,0.55537,1.04873,0.003334,0.003334,0.003334
103,8483.69,0.81711,0.50714,1.02422,0.86736,0.8633,0.89932,0.69337,0.80123,0.57152,1.0471,0.003268,0.003268,0.003268
104,8579.57,0.81216,0.50401,1.02238,0.85627,0.86677,0.898,0.69384,0.79839,0.5664,1.04612,0.003202,0.003202,0.003202
105,8674.81,0.81041,0.50784,1.01878,0.85237,0.85978,0.89486,0.69075,0.79607,0.57569,1.04505,0.003136,0.003136,0.003136
106,8769.83,0.80508,0.50391,1.01845,0.85251,0.87315,0.89713,0.69164,0.79637,0.56948,1.04596,0.00307,0.00307,0.00307
107,8866.67,0.80234,0.49344,1.0164,0.85185,0.8752,0.89821,0.6923,0.79949,0.55418,1.04712,0.003004,0.003004,0.003004
108,8961.72,0.80638,0.50238,1.01917,0.84665,0.87368,0.8926,0.68641,0.80233,0.58596,1.04829,0.002938,0.002938,0.002938
109,9059.86,0.8094,0.49814,1.01894,0.84456,0.872,0.89364,0.6908,0.79577,0.57433,1.0477,0.002872,0.002872,0.002872
110,9160.06,0.79229,0.48734,1.0155,0.86479,0.8695,0.89876,0.69363,0.79217,0.55571,1.04508,0.002806,0.002806,0.002806
111,9259.87,0.79763,0.48883,1.01553,0.85214,0.86051,0.88988,0.68677,0.79385,0.59837,1.04467,0.00274,0.00274,0.00274
112,9357.35,0.7906,0.4875,1.01343,0.85613,0.85533,0.8938,0.6891,0.79868,0.57554,1.04646,0.002674,0.002674,0.002674
113,9453.57,0.79542,0.49171,1.01649,0.86732,0.85848,0.89754,0.69292,0.79699,0.5699,1.04412,0.002608,0.002608,0.002608
114,9551.33,0.799,0.49204,1.01339,0.8643,0.86353,0.89875,0.69473,0.79684,0.55847,1.04604,0.002542,0.002542,0.002542
115,9646.21,0.79352,0.49118,1.00911,0.86262,0.86645,0.9024,0.69713,0.79298,0.5562,1.0444,0.002476,0.002476,0.002476
116,9743.71,0.78256,0.47884,1.00568,0.86467,0.8609,0.9003,0.69699,0.78708,0.55641,1.04271,0.00241,0.00241,0.00241
117,9842.66,0.7915,0.48103,1.00996,0.86714,0.86803,0.90403,0.70093,0.78592,0.54233,1.0408,0.002344,0.002344,0.002344
118,9940.95,0.79272,0.48225,1.01534,0.85781,0.87561,0.90565,0.70162,0.79021,0.54295,1.04164,0.002278,0.002278,0.002278
119,10038.3,0.78594,0.47729,1.0102,0.85337,0.87149,0.90426,0.7017,0.7869,0.5384,1.04165,0.002212,0.002212,0.002212
120,10136.6,0.79019,0.48244,1.00721,0.8528,0.87624,0.90532,0.70173,0.78966,0.5362,1.0433,0.002146,0.002146,0.002146
121,10230.2,0.78205,0.47383,1.00681,0.86124,0.86839,0.90299,0.70201,0.78648,0.53988,1.04226,0.00208,0.00208,0.00208
122,10330.3,0.77556,0.47032,1.00605,0.85656,0.86942,0.90006,0.69685,0.78827,0.55231,1.04141,0.002014,0.002014,0.002014
123,10423.2,0.78377,0.47015,1.00836,0.86582,0.86644,0.90172,0.69693,0.79332,0.54555,1.04275,0.001948,0.001948,0.001948
124,10518.1,0.77939,0.47297,1.00507,0.8532,0.86828,0.89563,0.69295,0.79335,0.55992,1.04352,0.001882,0.001882,0.001882
125,10614.2,0.78352,0.4685,1.00674,0.85211,0.86506,0.89309,0.68938,0.79909,0.56856,1.04613,0.001816,0.001816,0.001816
126,10712.5,0.77351,0.46883,1.00351,0.84541,0.86562,0.88878,0.68555,0.80224,0.58421,1.04758,0.00175,0.00175,0.00175
127,10811.9,0.77558,0.46464,1.00563,0.84598,0.86513,0.89071,0.68902,0.79993,0.56822,1.04741,0.001684,0.001684,0.001684
128,10909.8,0.76788,0.45746,1.00072,0.85276,0.86454,0.89502,0.6926,0.80033,0.55517,1.04847,0.001618,0.001618,0.001618
129,11007.1,0.76838,0.45894,0.99665,0.8598,0.86087,0.89551,0.69613,0.79595,0.54496,1.04728,0.001552,0.001552,0.001552
130,11104.9,0.76307,0.45309,1.001,0.85572,0.8671,0.89726,0.6992,0.79475,0.54368,1.04509,0.001486,0.001486,0.001486
131,11199,0.77103,0.45861,1.00366,0.8571,0.86504,0.89677,0.69688,0.79579,0.54804,1.04492,0.00142,0.00142,0.00142
132,11294.1,0.76125,0.4545,1.00007,0.8626,0.86543,0.89897,0.69765,0.79299,0.54935,1.04393,0.001354,0.001354,0.001354
133,11390.5,0.76015,0.45319,0.99695,0.86586,0.86718,0.89891,0.6983,0.79342,0.5451,1.04491,0.001288,0.001288,0.001288
134,11486.9,0.76203,0.45234,0.99896,0.86554,0.86385,0.90058,0.69929,0.7926,0.5417,1.04513,0.001222,0.001222,0.001222
135,11583.8,0.76358,0.44997,0.99749,0.86328,0.86425,0.90175,0.70008,0.79209,0.54083,1.04455,0.001156,0.001156,0.001156
136,11683.8,0.76285,0.45014,1.00067,0.85989,0.86643,0.90235,0.69986,0.79336,0.53795,1.04498,0.00109,0.00109,0.00109
137,11783.3,0.75139,0.44616,1,0.85992,0.85996,0.90073,0.69794,0.79372,0.54475,1.04473,0.001024,0.001024,0.001024
138,11880.1,0.74731,0.43877,0.9978,0.8609,0.86571,0.90351,0.70107,0.79269,0.53348,1.04433,0.000958,0.000958,0.000958
