=== 每张图片各类藻密度 (Cells/L，含修正系数) ===
文件名,丝状藻,其他,卵囊藻,小环藻,微囊藻,拟新月藻,新月藻,束丝藻,栅藻,浮丝藻,游丝藻,盘星藻,直链藻,空星藻,长孢藻,隐藻,合计密度
Huiwanzhong2025-320241027_DL_13136.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08
Huiwanzhong2025-320241027_DL_13137.jpg,0.00e+00,0.00e+00,5.17e+07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.09e+09
Huiwanzhong2025-320241027_DL_13138.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+09,0.00e+00,5.17e+07,0.00e+00,0.00e+00,0.00e+00,1.09e+09
Huiwanzhong2025-320241027_DL_13139.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.72e+08
Huiwanzhong2025-320241027_DL_13141.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.72e+08
Huiwanzhong2025-320241027_DL_13142.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08
Huiwanzhong2025-320241027_DL_13143.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.83e+08
Huiwanzhong2025-320241027_DL_13144.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
Huiwanzhong2025-320241027_DL_13145.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.72e+08
Huiwanzhong2025-320241027_DL_13146.jpg,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.17e+08
